method,question_index,query_latency_seconds,phase
semantic_rag,0,1.6015238749969285,
semantic_rag,1,2.224882542010164,
semantic_rag,2,1.4262161660008132,
semantic_rag,3,1.4844645420089364,
semantic_rag,4,1.4573249999957625,
semantic_rag,5,1.5356347500055565,
semantic_rag,6,1.203028624993749,
semantic_rag,7,1.08933316700859,
semantic_rag,8,1.8182300410117025,
semantic_rag,9,1.9046168329950888,
semantic_rag,10,1.4907170420046896,
semantic_rag,11,1.4176127499958966,
semantic_rag,-1,0.141663124988554,index
graph_rag,0,8.194926707976265,
graph_rag,1,21.555728124978486,
graph_rag,2,13.274260625010356,
graph_rag,3,12.354898708988912,
graph_rag,4,20.53061595800682,
graph_rag,5,12.75197675000527,
graph_rag,6,14.678693374997238,
graph_rag,7,11.795015916984994,
graph_rag,8,13.573770124989096,
graph_rag,9,16.102247458009515,
graph_rag,10,19.79431391600519,
graph_rag,11,13.175939291977556,
graph_rag,-1,277.3378802500083,index
graph_local_rag,0,11.829724415991222,
graph_local_rag,1,10.040118500008248,
graph_local_rag,2,12.308531874994516,
graph_local_rag,3,10.705280124995625,
graph_local_rag,4,11.051164500007872,
graph_local_rag,5,11.339673041016797,
graph_local_rag,6,11.034377250005493,
graph_local_rag,7,9.867950041021686,
graph_local_rag,8,10.307050291012274,
graph_local_rag,9,13.584550542000216,
graph_local_rag,10,8.964687832980417,
graph_local_rag,11,9.590149041003317,
graph_local_rag,-1,0.0006853750091977,index
hybrid_rag,0,9.093327499984298,
hybrid_rag,1,11.41164887501509,
hybrid_rag,2,13.180076792021282,
hybrid_rag,3,11.554985166992992,
hybrid_rag,4,9.217199333012104,
hybrid_rag,5,9.024691500002518,
hybrid_rag,6,10.24984899998526,
hybrid_rag,7,10.452126040996518,
hybrid_rag,8,10.052807125000982,
hybrid_rag,9,12.79719379200833,
hybrid_rag,10,12.930316957994364,
hybrid_rag,11,8.635994416981703,
hybrid_rag,-1,0.0442083750094752,index
lazygraph_rag,0,9.43816633397364,
lazygraph_rag,1,12.02947762500844,
lazygraph_rag,2,7.12673195800744,
lazygraph_rag,3,9.313123458006883,
lazygraph_rag,4,9.112683291983558,
lazygraph_rag,5,10.207891166006448,
lazygraph_rag,6,7.223844749998534,
lazygraph_rag,7,9.834345833980478,
lazygraph_rag,8,8.971532374998787,
lazygraph_rag,9,9.725166958000043,
lazygraph_rag,10,10.874584709003102,
lazygraph_rag,11,7.884055125003215,
lazygraph_rag,-1,57.40795108300517,index
adaptive_rag,0,9.219425749994116,
adaptive_rag,1,10.99667879100889,
adaptive_rag,2,7.29256454098504,
adaptive_rag,3,6.449894834018778,
adaptive_rag,4,7.088165833003586,
adaptive_rag,5,6.083795375016052,
adaptive_rag,6,1.3274155000108294,
adaptive_rag,7,0.97695237500011,
adaptive_rag,8,1.9453948750160637,
adaptive_rag,9,1.8991189159860369,
adaptive_rag,10,1.2100430840218903,
adaptive_rag,11,1.6890776249929331,
adaptive_rag,-1,0.0318894159863702,index
hybrid_dense_sparse,0,1.654492665984435,
hybrid_dense_sparse,1,1.9864023750124031,
hybrid_dense_sparse,2,1.545769041986205,
hybrid_dense_sparse,3,1.6858667499909643,
hybrid_dense_sparse,4,1.8178791670070495,
hybrid_dense_sparse,5,1.8014681670174468,
hybrid_dense_sparse,6,1.3480214579903986,
hybrid_dense_sparse,7,0.2604285829875152,
hybrid_dense_sparse,8,2.226729207992321,
hybrid_dense_sparse,9,1.992116207984509,
hybrid_dense_sparse,10,1.6390339589852374,
hybrid_dense_sparse,11,1.4058578340045642,
hybrid_dense_sparse,-1,0.0585315830248873,index
rerank_semantic,0,3.3799744159914553,
rerank_semantic,1,2.1285381249908824,
rerank_semantic,2,1.4988712079939432,
rerank_semantic,3,1.930094666982768,
rerank_semantic,4,1.8876194160257,
rerank_semantic,5,2.14929224998923,
rerank_semantic,6,0.8891895840060897,
rerank_semantic,7,1.1448958340042736,
rerank_semantic,8,0.6449992500129156,
rerank_semantic,9,0.5511773749894928,
rerank_semantic,10,1.7438501249998808,
rerank_semantic,11,0.5794342499866616,
rerank_semantic,-1,0.0375302089960314,index
frontier_rag,0,11.414469000010286,
frontier_rag,1,12.004135791998124,
frontier_rag,2,9.107175875018584,
frontier_rag,3,7.616432084003463,
frontier_rag,4,14.425293832988245,
frontier_rag,5,10.9411876249942,
frontier_rag,6,1.1814214999903925,
frontier_rag,7,14.888559000013629,
frontier_rag,8,1.2171644579793792,
frontier_rag,9,1.1012515000184067,
frontier_rag,10,0.9803333750169259,
frontier_rag,11,0.856660749996081,
frontier_rag,-1,0.18034275001264177,index
