method,question_index,query_latency_seconds,phase
semantic_rag,0,7.136114915978396,
semantic_rag,1,5.193527333991369,
semantic_rag,2,5.455356541991932,
semantic_rag,3,5.364918457984459,
semantic_rag,4,4.870300999988103,
semantic_rag,5,5.629474624991417,
semantic_rag,6,5.514466416992946,
semantic_rag,-1,0.12484916602261364,index
rerank_semantic,0,7.049036457989132,
rerank_semantic,1,4.989913707977394,
rerank_semantic,2,4.497568250022596,
rerank_semantic,3,5.748257540981285,
rerank_semantic,4,6.1639215420000255,
rerank_semantic,5,5.049301041988656,
rerank_semantic,6,2.799850167008117,
rerank_semantic,-1,0.028284291009185836,index
hybrid_rag,0,13.243798416981008,
hybrid_rag,1,12.551360874989768,
hybrid_rag,2,12.952229792019352,
hybrid_rag,3,13.202150291996077,
hybrid_rag,4,23.74374462501146,
hybrid_rag,5,21.487167332990794,
hybrid_rag,6,18.080640375002986,
hybrid_rag,-1,0.02856545799295418,index
frontier_rag,0,8.451943374995608,
frontier_rag,1,3.192755333002424,
frontier_rag,2,5.183929833001457,
frontier_rag,3,4.478928333002841,
frontier_rag,4,7.442052166996291,
frontier_rag,5,5.527339583990397,
frontier_rag,6,25.017476417007856,
frontier_rag,-1,0.07062895799754187,index
