method,question_id,query_type,llm_judge_score,token_f1,exact_match,contains_answer,composite_score,generative_score,extractive_score
semantic_rag,HumanEval-0,local,0.0,0.0,False,False,0.0,0.0,0.0
semantic_rag,HumanEval-1,local,0.5,0.25925925925925924,False,True,0.4398148148148148,0.75,0.12962962962962962
semantic_rag,HumanEval-2,local,0.5,0.29629629629629634,False,False,0.19907407407407407,0.25,0.14814814814814817
semantic_rag,HumanEval-3,local,1.0,0.33333333333333337,False,True,0.5833333333333334,1.0,0.16666666666666669
semantic_rag,HumanEval-4,local,0.0,0.2285714285714286,False,True,0.30714285714285716,0.5,0.1142857142857143
semantic_rag,HumanEval-5,local,0.5,0.42857142857142855,False,True,0.48214285714285715,0.75,0.21428571428571427
semantic_rag,HumanEval-6,local,0.0,0.36734693877551017,False,False,0.09183673469387754,0.0,0.18367346938775508
semantic_rag,HumanEval-7,local,0.5,0.4444444444444445,False,True,0.4861111111111111,0.75,0.22222222222222224
semantic_rag,HumanEval-8,local,0.8,0.41379310344827586,False,True,0.553448275862069,0.9,0.20689655172413793
semantic_rag,HumanEval-9,local,0.0,0.0625,False,False,0.015625,0.0,0.03125
semantic_rag,MBPP-11,local,0.8,0.3076923076923077,False,False,0.27692307692307694,0.4,0.15384615384615385
semantic_rag,MBPP-12,local,1.0,0.2,False,False,0.3,0.5,0.1
semantic_rag,MBPP-13,local,0.8,0.0,False,False,0.2,0.4,0.0
semantic_rag,MBPP-14,local,0.5,0.5714285714285715,False,False,0.2678571428571429,0.25,0.28571428571428575
semantic_rag,MBPP-15,local,0.5,0.6,False,False,0.275,0.25,0.3
semantic_rag,MBPP-16,local,0.6,0.0,False,False,0.15,0.3,0.0
semantic_rag,MBPP-17,local,0.5,0.75,False,False,0.3125,0.25,0.375
semantic_rag,MBPP-18,local,0.5,0.07407407407407407,False,False,0.14351851851851852,0.25,0.037037037037037035
semantic_rag,MBPP-19,local,0.6,0.18181818181818182,False,False,0.19545454545454544,0.3,0.09090909090909091
semantic_rag,MBPP-20,local,0.5,0.0,False,False,0.125,0.25,0.0
rerank_semantic,HumanEval-0,local,0.8,0.43902439024390244,False,True,0.5597560975609757,0.9,0.21951219512195122
rerank_semantic,HumanEval-1,local,0.6,0.25925925925925924,False,True,0.4648148148148148,0.8,0.12962962962962962
rerank_semantic,HumanEval-2,local,0.0,0.29629629629629634,False,True,0.32407407407407407,0.5,0.14814814814814817
rerank_semantic,HumanEval-3,local,0.0,0.05555555555555556,False,True,0.2638888888888889,0.5,0.02777777777777778
rerank_semantic,HumanEval-4,local,0.5,0.3684210526315789,False,True,0.46710526315789475,0.75,0.18421052631578946
rerank_semantic,HumanEval-5,local,0.5,0.42857142857142855,False,True,0.48214285714285715,0.75,0.21428571428571427
rerank_semantic,HumanEval-6,local,0.5,0.36734693877551017,False,False,0.21683673469387754,0.25,0.18367346938775508
rerank_semantic,HumanEval-7,local,0.0,0.16666666666666666,False,False,0.041666666666666664,0.0,0.08333333333333333
rerank_semantic,HumanEval-8,local,0.8,0.41379310344827586,False,True,0.553448275862069,0.9,0.20689655172413793
rerank_semantic,HumanEval-9,local,0.0,0.1818181818181818,False,False,0.04545454545454545,0.0,0.0909090909090909
rerank_semantic,MBPP-11,local,0.8,0.28571428571428575,False,False,0.27142857142857146,0.4,0.14285714285714288
rerank_semantic,MBPP-12,local,0.5,0.0,False,False,0.125,0.25,0.0
rerank_semantic,MBPP-13,local,0.8,0.25,False,True,0.5125,0.9,0.125
rerank_semantic,MBPP-14,local,0.5,0.5,False,False,0.25,0.25,0.25
rerank_semantic,MBPP-15,local,0.5,0.4,False,True,0.475,0.75,0.2
rerank_semantic,MBPP-16,local,0.5,0.23529411764705882,False,False,0.18382352941176472,0.25,0.11764705882352941
rerank_semantic,MBPP-17,local,0.5,0.8571428571428571,False,False,0.3392857142857143,0.25,0.42857142857142855
rerank_semantic,MBPP-18,local,0.5,0.15384615384615385,False,False,0.16346153846153846,0.25,0.07692307692307693
rerank_semantic,MBPP-19,local,0.4,0.3333333333333333,False,False,0.18333333333333335,0.2,0.16666666666666666
rerank_semantic,MBPP-20,local,0.5,0.0,False,False,0.125,0.25,0.0
