method,question_id,query_type,llm_judge_score,token_f1,exact_match,contains_answer,composite_score,generative_score,extractive_score,code_rag_type,graphrag_bench_type,multihop_type
semantic_rag,HumanEval-0,local,0.0,0.0,False,False,0.0,0.0,0.0,humaneval,,
semantic_rag,HumanEval-1,local,0.5,0.2592592592592592,False,True,0.4398148148148148,0.75,0.1296296296296296,humaneval,,
semantic_rag,HumanEval-2,local,0.5,0.2962962962962963,False,False,0.199074074074074,0.25,0.14814814814814814,humaneval,,
semantic_rag,HumanEval-3,local,1.0,0.3333333333333333,False,True,0.5833333333333334,1.0,0.16666666666666666,humaneval,,
semantic_rag,HumanEval-4,local,0.0,0.2285714285714286,False,True,0.3071428571428571,0.5,0.1142857142857143,humaneval,,
semantic_rag,HumanEval-5,local,0.5,0.4285714285714285,False,True,0.4821428571428571,0.75,0.21428571428571425,humaneval,,
semantic_rag,HumanEval-6,local,0.0,0.3673469387755101,False,False,0.0918367346938775,0.0,0.18367346938775506,humaneval,,
semantic_rag,HumanEval-7,local,0.5,0.4444444444444445,False,True,0.4861111111111111,0.75,0.22222222222222224,humaneval,,
semantic_rag,HumanEval-8,local,0.8,0.4137931034482758,False,True,0.553448275862069,0.9,0.2068965517241379,humaneval,,
semantic_rag,HumanEval-9,local,0.0,0.0625,False,False,0.015625,0.0,0.03125,humaneval,,
semantic_rag,MBPP-11,local,0.8,0.3076923076923077,False,False,0.2769230769230769,0.4,0.15384615384615385,mbpp,,
semantic_rag,MBPP-12,local,1.0,0.2,False,False,0.3,0.5,0.1,mbpp,,
semantic_rag,MBPP-13,local,0.8,0.0,False,False,0.2,0.4,0.0,mbpp,,
semantic_rag,MBPP-14,local,0.5,0.5714285714285715,False,False,0.2678571428571429,0.25,0.28571428571428575,mbpp,,
semantic_rag,MBPP-15,local,0.5,0.6,False,False,0.275,0.25,0.3,mbpp,,
semantic_rag,MBPP-16,local,0.6,0.0,False,False,0.15,0.3,0.0,mbpp,,
semantic_rag,MBPP-17,local,0.5,0.75,False,False,0.3125,0.25,0.375,mbpp,,
semantic_rag,MBPP-18,local,0.5,0.074074074074074,False,False,0.1435185185185185,0.25,0.037037037037037,mbpp,,
semantic_rag,MBPP-19,local,0.6,0.1818181818181818,False,False,0.1954545454545454,0.3,0.0909090909090909,mbpp,,
semantic_rag,MBPP-20,local,0.5,0.0,False,False,0.125,0.25,0.0,mbpp,,
rerank_semantic,HumanEval-0,local,0.8,0.4390243902439024,False,True,0.5597560975609757,0.9,0.2195121951219512,humaneval,,
rerank_semantic,HumanEval-1,local,0.6,0.2592592592592592,False,True,0.4648148148148148,0.8,0.1296296296296296,humaneval,,
rerank_semantic,HumanEval-2,local,0.0,0.2962962962962963,False,True,0.324074074074074,0.5,0.14814814814814814,humaneval,,
rerank_semantic,HumanEval-3,local,0.0,0.0555555555555555,False,True,0.2638888888888889,0.5,0.02777777777777775,humaneval,,
rerank_semantic,HumanEval-4,local,0.5,0.3684210526315789,False,True,0.4671052631578947,0.75,0.18421052631578946,humaneval,,
rerank_semantic,HumanEval-5,local,0.5,0.4285714285714285,False,True,0.4821428571428571,0.75,0.21428571428571425,humaneval,,
rerank_semantic,HumanEval-6,local,0.5,0.3673469387755101,False,False,0.2168367346938775,0.25,0.18367346938775506,humaneval,,
rerank_semantic,HumanEval-7,local,0.0,0.1666666666666666,False,False,0.0416666666666666,0.0,0.0833333333333333,humaneval,,
rerank_semantic,HumanEval-8,local,0.8,0.4137931034482758,False,True,0.553448275862069,0.9,0.2068965517241379,humaneval,,
rerank_semantic,HumanEval-9,local,0.0,0.1818181818181818,False,False,0.0454545454545454,0.0,0.0909090909090909,humaneval,,
rerank_semantic,MBPP-11,local,0.8,0.2857142857142857,False,False,0.2714285714285714,0.4,0.14285714285714285,mbpp,,
rerank_semantic,MBPP-12,local,0.5,0.0,False,False,0.125,0.25,0.0,mbpp,,
rerank_semantic,MBPP-13,local,0.8,0.25,False,True,0.5125,0.9,0.125,mbpp,,
rerank_semantic,MBPP-14,local,0.5,0.5,False,False,0.25,0.25,0.25,mbpp,,
rerank_semantic,MBPP-15,local,0.5,0.4,False,True,0.475,0.75,0.2,mbpp,,
rerank_semantic,MBPP-16,local,0.5,0.2352941176470588,False,False,0.1838235294117647,0.25,0.1176470588235294,mbpp,,
rerank_semantic,MBPP-17,local,0.5,0.8571428571428571,False,False,0.3392857142857143,0.25,0.42857142857142855,mbpp,,
rerank_semantic,MBPP-18,local,0.5,0.1538461538461538,False,False,0.1634615384615384,0.25,0.0769230769230769,mbpp,,
rerank_semantic,MBPP-19,local,0.4,0.3333333333333333,False,False,0.1833333333333333,0.2,0.16666666666666666,mbpp,,
rerank_semantic,MBPP-20,local,0.5,0.0,False,False,0.125,0.25,0.0,mbpp,,
